date,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant
2023-09-14 04:00:00+00:00,50.640675,19.848988,34.196575,0,0,44848.21,41446.32,0.0,0.0,0.0,0.0,5.80328,23.4885,261.75067
2023-09-15 04:00:00+00:00,48.990757,19.733435,33.331356,0,0,44716.582,41312.71,0.0,0.0,0.0,0.0,5.442856,22.1463,267.66702
2023-09-16 04:00:00+00:00,45.434383,15.959965,29.475164,0,0,44584.234,39204.906,0.007874016,0.0,0.05511811,1.0,6.0852976,20.580399,306.49136
2023-09-17 04:00:00+00:00,43.898956,20.3393,30.680216,0,0,44451.184,40564.93,0.027559057,0.0,0.19291338,2.0,5.8718586,24.383299,289.5664
2023-09-18 04:00:00+00:00,39.914474,22.51565,29.75998,0,0,44317.516,33654.89,0.12204723,0.0,0.85433066,10.0,6.154799,23.9359,290.8909
2023-09-19 04:00:00+00:00,39.85454,18.088804,27.286795,0,0,44183.316,40922.176,0.03543307,0.0,0.24803151,4.0,6.673612,24.159601,278.74603
2023-09-20 04:00:00+00:00,40.03344,16.568253,27.89985,0,0,44048.668,40843.31,0.0,0.0,0.0,0.0,6.949117,27.738798,259.89645
2023-09-21 04:00:00+00:00,36.734142,12.536032,24.878687,0,0,43913.66,40111.89,0.0,0.0,0.0,0.0,8.081114,32.660202,260.66168
2023-09-22 04:00:00+00:00,34.566948,16.844498,24.385252,0,0,43778.37,35033.48,0.16535431,0.0,1.1574802,9.0,10.187565,40.266,268.979
2023-09-23 04:00:00+00:00,24.415459,13.262863,17.20954,0,0,43642.895,33274.523,0.22047244,0.0,1.5708661,13.0,5.1499605,22.8174,302.8597
2023-09-24 04:00:00+00:00,24.408064,7.4230595,16.201838,0,0,43507.3,39681.445,0.13385826,0.0,0.93700784,9.0,5.07163,19.9093,269.15747
2023-09-25 04:00:00+00:00,26.181087,1.0458221,15.395012,0,0,43371.68,40098.375,0.027559055,0.0,0.1929134,4.0,5.3360767,21.2515,262.16083
2023-09-26 04:00:00+00:00,25.858238,0.0074214935,13.013538,0,0,43236.11,39967.633,0.0,0.0,0.0,0.0,7.8804655,33.3313,248.00037
2023-09-27 04:00:00+00:00,25.41032,0.46681595,13.963363,0,0,43100.684,39831.703,0.0,0.0,0.0,0.0,7.4663534,29.3047,246.81879
2023-09-28 04:00:00+00:00,31.193832,6.6397305,17.814068,0,0,42965.48,39704.5,0.0,0.0,0.0,0.0,6.7147274,26.1729,240.74614
2023-09-29 04:00:00+00:00,30.827148,5.6076164,18.342108,0,0,42830.574,39544.594,0.0,0.0,0.0,0.0,7.02076,32.660202,233.3798
2023-09-30 04:00:00+00:00,28.461452,5.619869,16.584688,0,0,42696.062,39445.008,0.0,0.0,0.0,0.0,8.750073,35.3446,240.53584
2023-10-01 04:00:00+00:00,28.936195,8.436676,17.987513,0,0,42562.02,39383.996,0.0,0.0,0.0,0.0,6.1058216,26.620298,239.46773
2023-10-02 04:00:00+00:00,29.690397,5.139822,17.87832,0,0,42428.535,39276.258,0.007874016,0.0,0.05511811,2.0,7.2210417,35.3446,240.21053
2023-10-03 04:00:00+00:00,25.710749,8.015066,15.854122,0,0,42295.695,39231.258,0.01968504,0.0,0.13779527,4.0,6.405793,25.501799,250.4797
2023-10-04 04:00:00+00:00,22.557734,0.42663574,11.904212,0,0,42163.586,39176.617,0.04330709,0.0,0.30314958,4.0,5.8718586,23.7122,273.83524
2023-10-05 04:00:00+00:00,22.518822,4.83576,13.03983,0,0,42031.984,39044.293,0.0,0.0,0.0,0.0,6.673612,24.8307,264.07703
2023-10-06 04:00:00+00:00,31.771666,7.9803658,20.180115,0,0,41899.97,38908.98,0.011811024,0.003937008,0.08267716,2.0,6.7147274,27.9625,252.82729
2023-10-07 04:00:00+00:00,28.155886,4.66897,16.645401,0,0,41767.56,38773.035,0.0,0.0,0.0,0.0,6.9346995,28.409899,256.71133
2023-10-08 04:00:00+00:00,26.323086,3.7724037,15.181739,0,0,41634.848,38636.57,0.031496063,0.0,0.22047246,5.0,5.733881,23.0411,265.65683
2023-10-09 04:00:00+00:00,25.469555,8.365547,15.5927,0,0,41501.934,35579.383,0.023622049,0.0,0.16535434,3.0,7.405788,31.318,253.08191
2023-10-10 04:00:00+00:00,16.159092,-1.8230362,7.277189,0,0,41368.91,32664.389,0.07480315,0.0,0.52362204,8.0,5.8162003,20.3567,313.98993
2023-10-11 04:00:00+00:00,17.574482,-0.647419,8.578359,0,0,41235.875,38224.914,0.0,0.0,0.0,0.0,4.112674,12.974601,264.5597
2023-10-12 04:00:00+00:00,21.809128,3.5266418,11.834844,0,0,41102.918,38087.29,0.0,0.0,0.0,0.0,5.3031526,17.2249,274.32755
